{'T': 1000,
 'batch_size': 2048,
 'd_k': 8,
 'd_model': 256,
 'dataset_folder': '../../../results/ltae',
 'dates': 'dates.txt',
 'device': 'cuda',
 'display_step': 100,
 'dropout': 0.2,
 'epochs': 100,
 'factor': 3,
 'gamma': 1,
 'in_channels': 10,
 'len_max_seq': 33,
 'lr': 0.001,
 'mlp4': [128, 64, 32, 19],
 'n_head': 16,
 'n_neurons': [256, 128],
 'npy': '../../../data/theiaL2A_zip_img/output/2018/2018_SITS_data.npz',
 'num_classes': 19,
 'num_workers': 10,
 'positions': 'None',
 'preload': False,
 'res_dir': '../../../results/ltae/trials',
 'seed': 1}
Train 5388, Val 712, Test 782, stop itr at 1796 
Iteration 271 completed in 0.0782 second
Iteration 272 completed in 0.0807 second
Iteration 273 completed in 0.0765 second
Iteration 274 completed in 0.0758 second
Iteration 275 completed in 0.0852 second
Iteration 276 completed in 0.0753 second
Iteration 277 completed in 0.0778 second
Iteration 278 completed in 0.0757 second
Iteration 279 completed in 0.0761 second
Iteration 280 completed in 0.0762 second
Iteration 281 completed in 0.0781 second
Iteration 282 completed in 0.0759 second
Iteration 283 completed in 0.0765 second
Iteration 284 completed in 0.0764 second
Iteration 285 completed in 0.0862 second
Iteration 286 completed in 0.0756 second
Iteration 287 completed in 0.0754 second
Iteration 288 completed in 0.0757 second
Iteration 289 completed in 0.0761 second
Iteration 290 completed in 0.0764 second
Iteration 291 completed in 0.0763 second
Iteration 292 completed in 0.0764 second
Iteration 293 completed in 0.0758 second
Iteration 294 completed in 0.0761 second
Iteration 295 completed in 0.0862 second
Iteration 296 completed in 0.0752 second
Iteration 297 completed in 0.0767 second
Iteration 298 completed in 0.0766 second
Iteration 299 completed in 0.0758 second
Step [300/5388], Loss: 1.1717, Acc : 65.85
Iteration 300 completed in 0.0766 second
Iteration 301 completed in 0.0771 second
Iteration 302 completed in 0.0759 second
Iteration 303 completed in 0.0764 second
Iteration 304 completed in 0.0772 second
Iteration 305 completed in 0.0862 second
Iteration 306 completed in 0.0760 second
Iteration 307 completed in 0.0762 second
Iteration 308 completed in 0.0767 second
Iteration 309 completed in 0.0773 second
Iteration 310 completed in 0.0767 second
Iteration 311 completed in 0.0793 second
Iteration 312 completed in 0.0784 second
Iteration 313 completed in 0.0810 second
Iteration 314 completed in 0.3665 second
Iteration 315 completed in 0.0876 second
Iteration 316 completed in 0.0775 second
Iteration 317 completed in 0.0811 second
Iteration 318 completed in 0.0776 second
Iteration 319 completed in 0.0801 second
Iteration 320 completed in 0.0785 second
Iteration 321 completed in 0.0788 second
Iteration 322 completed in 0.0799 second
Iteration 323 completed in 0.0805 second
Iteration 324 completed in 0.0804 second
Iteration 325 completed in 0.0870 second
Iteration 326 completed in 0.0784 second
Iteration 327 completed in 0.0768 second
Iteration 328 completed in 0.0762 second
Iteration 329 completed in 0.0763 second
Iteration 330 completed in 0.0764 second
Iteration 331 completed in 0.0771 second
Iteration 332 completed in 0.0767 second
Iteration 333 completed in 0.0769 second
Iteration 334 completed in 0.0773 second
Iteration 335 completed in 0.0871 second
Iteration 336 completed in 0.0768 second
Iteration 337 completed in 0.0775 second
Iteration 338 completed in 0.0772 second
Iteration 339 completed in 0.0777 second
Iteration 340 completed in 0.0770 second
Iteration 341 completed in 0.0768 second
Iteration 342 completed in 0.0771 second
Iteration 343 completed in 0.0773 second
Iteration 344 completed in 0.0772 second
Iteration 345 completed in 0.0876 second
Iteration 346 completed in 0.0772 second
Iteration 347 completed in 0.0763 second
Iteration 348 completed in 0.0784 second
Iteration 349 completed in 0.0784 second
Iteration 350 completed in 0.0765 second
Iteration 351 completed in 0.0775 second
Iteration 352 completed in 0.0769 second
Iteration 353 completed in 0.0769 second
Iteration 354 completed in 0.0765 second
Iteration 355 completed in 0.0874 second
Iteration 356 completed in 0.0770 second
Iteration 357 completed in 0.0830 second
Iteration 358 completed in 0.0766 second
Iteration 359 completed in 0.0772 second
Iteration 360 completed in 0.0767 second
Iteration 361 completed in 0.0774 second
Iteration 362 completed in 0.0769 second
Iteration 363 completed in 0.0806 second
Iteration 364 completed in 0.0842 second
Iteration 365 completed in 0.0891 second
Iteration 366 completed in 0.0788 second
Iteration 367 completed in 0.0795 second
Iteration 368 completed in 0.0779 second
Iteration 369 completed in 0.0799 second
Iteration 370 completed in 0.0775 second
Iteration 371 completed in 0.0774 second
Iteration 372 completed in 0.0777 second
Iteration 373 completed in 0.0786 second
Iteration 374 completed in 0.0777 second
Iteration 375 completed in 0.0887 second
Iteration 376 completed in 0.0774 second
Iteration 377 completed in 0.0786 second
Iteration 378 completed in 0.0784 second
Iteration 379 completed in 0.0802 second
Iteration 380 completed in 0.0780 second
Iteration 381 completed in 0.0775 second
Iteration 382 completed in 0.0787 second
Iteration 383 completed in 0.0773 second
Iteration 384 completed in 0.0771 second
Iteration 385 completed in 0.0882 second
Iteration 386 completed in 0.0772 second
Iteration 387 completed in 0.0780 second
Iteration 388 completed in 0.0807 second
Iteration 389 completed in 0.0852 second
Iteration 390 completed in 0.0864 second
Iteration 391 completed in 0.0842 second
Iteration 392 completed in 0.0824 second
Iteration 393 completed in 0.0834 second
Iteration 394 completed in 0.0867 second
Iteration 395 completed in 0.0897 second
Iteration 396 completed in 0.0788 second
Iteration 397 completed in 0.0796 second
Iteration 398 completed in 0.0829 second
Iteration 399 completed in 0.0873 second
Step [400/5388], Loss: 0.9634, Acc : 71.48
Iteration 400 completed in 0.0843 second
Iteration 401 completed in 0.0849 second
Iteration 402 completed in 0.0868 second
Iteration 403 completed in 0.0831 second
Iteration 404 completed in 0.0844 second
Iteration 405 completed in 0.0906 second
Iteration 406 completed in 0.0792 second
Iteration 407 completed in 0.0791 second
Iteration 408 completed in 0.0789 second
Iteration 409 completed in 0.0800 second
Iteration 410 completed in 0.0794 second
Iteration 411 completed in 0.0800 second
Iteration 412 completed in 0.0780 second
Iteration 413 completed in 0.0796 second
Iteration 414 completed in 0.0809 second
Iteration 415 completed in 0.0903 second
Iteration 416 completed in 0.0859 second
Iteration 417 completed in 0.0817 second
Iteration 418 completed in 0.0772 second
Iteration 419 completed in 0.0821 second
Iteration 420 completed in 0.0752 second
Iteration 421 completed in 0.0757 second
Iteration 422 completed in 0.0763 second
Iteration 423 completed in 0.0773 second
Iteration 424 completed in 0.0761 second
Iteration 425 completed in 0.0863 second
Iteration 426 completed in 0.0760 second
Iteration 427 completed in 0.0796 second
Iteration 428 completed in 0.0751 second
Iteration 429 completed in 0.0763 second
Iteration 430 completed in 0.0747 second
Iteration 431 completed in 0.0770 second
Iteration 432 completed in 0.0756 second
Iteration 433 completed in 0.0772 second
Iteration 434 completed in 0.0761 second
Iteration 435 completed in 0.0865 second
Iteration 436 completed in 0.0758 second
Iteration 437 completed in 0.0761 second
Iteration 438 completed in 0.0766 second
Iteration 439 completed in 0.0776 second
Iteration 440 completed in 0.0764 second
Iteration 441 completed in 0.0760 second
Iteration 442 completed in 0.0767 second
Iteration 443 completed in 0.0756 second
Iteration 444 completed in 0.0760 second
Iteration 445 completed in 0.0866 second
Iteration 446 completed in 0.0763 second
Iteration 447 completed in 0.0765 second
Iteration 448 completed in 0.0763 second
Iteration 449 completed in 0.0775 second
Iteration 450 completed in 0.0790 second
Iteration 451 completed in 0.0791 second
Iteration 452 completed in 0.0792 second
Iteration 453 completed in 0.0826 second
Iteration 454 completed in 0.0785 second
Iteration 455 completed in 0.0859 second
Iteration 456 completed in 0.0775 second
Iteration 457 completed in 0.0765 second
Iteration 458 completed in 0.0763 second
Iteration 459 completed in 0.0774 second
Iteration 460 completed in 0.0760 second
Iteration 461 completed in 0.0769 second
Iteration 462 completed in 0.0813 second
Iteration 463 completed in 0.0803 second
Iteration 464 completed in 0.0819 second
Iteration 465 completed in 0.0864 second
Iteration 466 completed in 0.0775 second
Iteration 467 completed in 0.0762 second
Iteration 468 completed in 0.0762 second
Iteration 469 completed in 0.0772 second
Iteration 470 completed in 0.0765 second
Iteration 471 completed in 0.0763 second
Iteration 472 completed in 0.0755 second
Iteration 473 completed in 0.0760 second
Iteration 474 completed in 0.0763 second
Iteration 475 completed in 0.0858 second
Iteration 476 completed in 0.0759 second
Iteration 477 completed in 0.0766 second
Iteration 478 completed in 0.0763 second
Iteration 479 completed in 0.0788 second
Iteration 480 completed in 0.0759 second
Iteration 481 completed in 0.0766 second
Iteration 482 completed in 0.0762 second
Iteration 483 completed in 0.0761 second
Iteration 484 completed in 0.0757 second
Iteration 485 completed in 0.0862 second
Iteration 486 completed in 0.0762 second
Iteration 487 completed in 0.0778 second
Iteration 488 completed in 0.0785 second
Iteration 489 completed in 0.0802 second
Iteration 490 completed in 0.0789 second
Iteration 491 completed in 0.0794 second
Iteration 492 completed in 0.0816 second
Iteration 493 completed in 0.0829 second
Iteration 494 completed in 0.0840 second
Iteration 495 completed in 0.0895 second
Iteration 496 completed in 0.0788 second
Iteration 497 completed in 0.0784 second
Iteration 498 completed in 0.0783 second
Iteration 499 completed in 0.0798 second
Step [500/5388], Loss: 0.8290, Acc : 75.03
Iteration 500 completed in 0.0772 second
Iteration 501 completed in 0.0797 second
Iteration 502 completed in 0.0771 second
Iteration 503 completed in 0.0770 second
Iteration 504 completed in 0.0769 second
Iteration 505 completed in 0.0877 second
Iteration 506 completed in 0.0774 second
Iteration 507 completed in 0.0776 second
Iteration 508 completed in 0.0772 second
Iteration 509 completed in 0.0770 second
Iteration 510 completed in 0.0865 second
Iteration 511 completed in 0.0777 second
Iteration 512 completed in 0.0773 second
Iteration 513 completed in 0.0773 second
Iteration 514 completed in 0.0772 second
Iteration 515 completed in 0.0870 second
Iteration 516 completed in 0.0769 second
Iteration 517 completed in 0.0774 second
Iteration 518 completed in 0.0773 second
Iteration 519 completed in 0.0776 second
Iteration 520 completed in 0.0768 second
Iteration 521 completed in 0.0771 second
Iteration 522 completed in 0.0769 second
Iteration 523 completed in 0.0777 second
Iteration 524 completed in 0.0769 second
Iteration 525 completed in 0.0882 second
Iteration 526 completed in 0.0772 second
Iteration 527 completed in 0.0772 second
Iteration 528 completed in 0.0769 second
Iteration 529 completed in 0.0782 second
Iteration 530 completed in 0.0777 second
Iteration 531 completed in 0.0782 second
Iteration 532 completed in 0.0775 second
Iteration 533 completed in 0.0773 second
Iteration 534 completed in 0.0773 second
Iteration 535 completed in 0.0879 second
Iteration 536 completed in 0.0791 second
Iteration 537 completed in 0.0799 second
Iteration 538 completed in 0.0773 second
Iteration 539 completed in 0.0779 second
Iteration 540 completed in 0.0777 second
Iteration 541 completed in 0.0785 second
